Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","Beta","Alpha","Net Profit Margin","PB Ratio"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","210719.6767005","169.6","12.968410173404758","1.18988061052551","-4.16925128250808","5.154025318549992","0.8686004324315256"
Adani Total Gas Ltd,ATGL,"Gas Distribution","203646.334018695","1851.1","440.01195717275607",,"103.987544889286","26.599462056599005","105.30562399485744"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","192670.229390355","1757.3","208.82492563768716","1.64329249287686","77.7477762531124","2.289944660001635","10.188795743119913"
Tata Motors Ltd - DVR,TATAMTRDVR,"Four Wheelers","179873.60392181","238.15","-13.759767994306344","1.5981029010115","25.0598326131369","-5.178472776318802",
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","179873.60392181","500.6","-13.372120198864959","1.73817694364029","26.2923466606925","-5.288952818097339","3.1656624275378413"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","176504.39465256","18331.65","84.75886087530432","0.24233857549274","10.3005571989594","15.430116450353738","87.4069719079303"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","157293.39222550002","657.35","19.8828709677032","1.10068001741277","16.0656160571851","9.835637557191168","3.40675732008187"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","149558.31649325002","726.95","29.945801512374103","1.25694284603866","15.7313346940086","32.781601922406665","4.644298977884056"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","147391.31901632","209.7","12.245404297968012","0.475877879560304","8.58471594344477","29.001840857396186","2.1075150350358545"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","142478.64069411","1176.3","19.021956724116254","1.31011945624229","16.8137352607007","4.749945240891248","1.838233646707037"
Tech Mahindra Ltd,TECHM,"IT Services & Consulting","141199.42981103","1448.2","31.8878567775587","0.681148171757226","12.8646765562765","11.458619065610174","5.593274963300124"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","136604.56326999998","329.65","17.1183663245614","0.582644666837658","3.97165186482337","32.64070680628272","4.227541957416519"
HDFC Life Insurance Company Ltd,HDFCLIFE,"Insurance","133973.4328972","624.35","98.44690006922038","0.847996638009216","8.63295619391356","1.8908041728935325","15.506561258687984"
NTPC Ltd,NTPC,"Power Generation","132504.94272111","134.2","9.054205177794728","0.70835686850682","-1.57449987035142","12.379794108710108","1.0250867092069005"
Vedanta Ltd,VEDL,"Metals - Diversified","128030.79490644","356.35","11.03523486523358","1.57924106829457","17.1829360069549","12.687823975853547","1.6537600416755793"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","127204.0205016","2481.8","112.44951910043225","0.561540907160391","17.9482963504851","15.336174043429518","21.807649665969482"
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","118553.57647895999","1172.1","81.43254901189006","0.824528854826096","14.7361059657487","1.7587041267363834","11.398900092588388"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","117347.49096273","124.15","5.423160740316796","0.840104122659033","-12.0134204580428","5.869645546618511","1.040185627356412"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","114807.91649132498","525.15","32.96236476925782","1.63901041030997","14.7034441488945","2.612138984093176","1.725319214512796"
Grasim Industries Ltd,GRASIM,"Cement","113774.58436211999","1735.3","26.429579950408996","0.873477681510025","17.1195116853316","5.527755823487089","1.1092077041263555"
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","113154.65488209999","4304.5","57.02526086514572","0.298930802028326","23.884983088325","28.218163925847133","12.174223004741457"
Larsen & Toubro Infotech Ltd,LTI,"IT Services & Consulting","108628.82482787999","6282","56.10703208918966","0.788942758579377","33.3235279353912","15.312158934531233","14.866202026505729"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","104782.6916122","3565.35","21.573452778082036","0.960961470978347","-3.05405242284723","16.563371943529944","3.841931623300911"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","102282.52566648","841.7","56.4320496479872","1.45843921129236","-8.74582580140519","2.3515270089773614","2.019309429544958"
DLF Ltd,DLF,"Real Estate","99816.94454445","399.5","91.27288937047936","1.35109524216204","11.898754961654","18.395798744804374","2.8145658252538746"
Coal India Ltd,COALINDIA,"Mining - Coal","99404.80791450999","160.4","7.827218024290763","0.777525080898902","-20.0316380797293","13.536674419588735","2.6896375473236973"
Dabur India Ltd,DABUR,"FMCG - Personal Products","98372.373996535","569","58.09506525514377","0.430952973352491","0.240198494079448","17.15274380083247","12.775267978906445"
Godrej Consumer Products Ltd,GODREJCP,"FMCG - Personal Products","94414.91102407","912.35","54.86623297269324","0.606182356533836","3.29075288862643","15.450296199063011","10.00274513174946"
Shree Cement Ltd,SHREECEM,"Cement","89483.50230732","24724.05","39.146365413308736","0.921810477559197","2.24222388335503","16.39479123782692","5.792348567363841"
Fsn E-Commerce Ventures Ltd,NYKAA,"Business Support Services","86838.89540192","1878.35","1404.024177880673",,,"2.5217724574336335","176.9369697873225"
Siemens Ltd,SIEMENS,"Conglomerates","86836.3629792","2422.8","79.64446755865363","0.967113638620994","16.6608934841744","7.840500503379831","8.384235256896236"
Britannia Industries Ltd,BRITANNIA,"FMCG - Foods","85806.92176704001","3562","46.036226067407064","0.5993480210612","-3.21760733356178","13.858178027661335","23.941663439464282"
SBI Cards and Payment Services Ltd,SBICARD,"Payment Infrastructure","83423.063864745","854.9","84.73475791730489",,,"10.135501020221172","13.237490755319318"
Motherson Sumi Systems Ltd,MOTHERSUMI,"Auto Parts","82288.34345446","181.25","79.18431818173583","1.74543787180593","3.20660972450885","1.7913905686527363","4.96194160929938"
Bharat Petroleum Corporation Ltd,BPCL,"Oil & Gas - Refining & Marketing","81533.88758817999","375.65","5.043859478216485","1.22453029766213","-3.23400897496804","6.801111891661041","1.522430506838567"
Tata Power Company Ltd,TATAPOWER,"Power Transmission & Distribution","80794.160445895","254.35","71.66541933145457","1.11321876447591","30.0943804508642","3.2780516966704436","3.1998244898483383"
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,"Insurance","78217.71095742","535.8","81.80485379639173","0.870919384597548","9.31844224717725","1.1268551448718642","6.462810153520612"
Cipla Ltd,CIPLA,"Pharmaceuticals","76868.91326125","946.1","31.963853872038815","0.338316919683546","16.606009191539","12.379913495504383","4.135941514972083"
Ambuja Cements Ltd,AMBUJACEM,"Cement","75831.79129550999","380.4","32.05821804632967","0.807186871971278","10.9749893641321","9.469259653645679","2.606038708383494"
Havells India Ltd,HAVELLS,"Electrical Components & Equipments","75567.796476155","1209.55","72.3614601757668","0.964831612686672","1.39824838015672","9.810646840763347","14.598805416253892"
Interglobe Aviation Ltd,INDIGO,"Airlines","74784.8155648","1974.35","-12.87965506598719","0.824694849657685","4.96279822230559","-37.03649604307804","674.5879087569872"
Indusind Bank Ltd,INDUSINDBK,"Private Banks","74234.44919478","956.05","25.335038341488858","2.3203655727682","-34.6870750375922","8.25367288739259","1.7065135623210215"
Zomato Ltd,ZOMATO,"Online Services","74170.21251509","94.2","-91.25272209041579",,,"-38.368036706428846","9.164725178282247"
Eicher Motors Ltd,EICHERMOT,"Trucks & Buses","73023.98281087","2631.4","54.216738420264456","0.978970962615055","-5.08831319090308","14.632681019525958","6.384286769359018"
Dr Reddy's Laboratories Ltd,DRREDDY,"Pharmaceuticals","72595.269851265","4351.95","37.19782222343972","0.187421955046734","12.4310236106828","10.066591358082007","4.11498154096629"
SRF Ltd,SRF,"Textiles","72320.8016795","2435.9","60.37097156744076","1.07302902074835","45.6450687581456","14.149359998771615","10.54789550224461"
Berger Paints India Ltd,BERGEPAINT,"Paints","71567.11466952","735.2","99.4332958242723","0.5927324537182","20.2167212953002","10.478113517385154","21.149112029362314"
